index,place_name,category,address,phone,api_distance,haversine_m,lat,lon
1,강영찬 가정의학과의원,가정의학과,경기 수원시 장안구 연무동 246-24,031-254-2722,1214,1215,37.29252206096182,127.03039150101714
2,건강한김치과의원,치과,경기 수원시 장안구 연무동 245-33,031-890-7522,1116,1117,37.29268388,127.0317855
3,고려웰가정의학과의원,가정의학과,경기 수원시 영통구 이의동 1202,031-217-8871,828,829,37.305067074994675,127.04724504332397
4,광교성모은정신건강의학과,정신건강의학과,경기 수원시 영통구 이의동 1325-4,031-8019-9997,1295,1295,37.29215741231897,127.05065300794543
5,광교에이스신경외과의원,기타,경기 수원시 영통구 이의동 1248,031-214-7511,455,455,37.3008294,127.0451952
6,광교연세 정신건강의학과의원,정신건강의학과,경기 수원시 영통구 이의동 1322-5,031-8004-3311,1220,1220,37.29273158,127.0501684
7,광교연세안과의원,안과,경기 수원시 영통구 이의동 1325-4,031-8019-8081,1307,1307,37.29202495,127.0506777
8,광교연세피부과,피부과,경기 수원시 영통구 이의동 1322-5,031-215-1512,1220,1220,37.29273158,127.0501684
9,광교윌내과의원,내과,경기 수원시 영통구 이의동 1348-3,031-548-1104,1316,1318,37.28978103,127.0471216
10,광교은산부인과의원,기타,경기 수원시 영통구 이의동 1322-5,031-891-3003,1220,1220,37.29273157973348,127.05016844482037
11,광교이마트동물병원 쿨펫,동물병원,경기 수원시 영통구 이의동 1240,031-211-7782,744,744,37.29634966268867,127.04695424721876
12,광교이안소아청소년과의원,기타,경기 수원시 영통구 이의동 1322-5,031-213-7373,1220,1220,37.29273158,127.0501684
13,광교제일내과외과의원,내과,경기 수원시 영통구 이의동 1248,031-8019-9798,454,454,37.30081499,127.0451873
14,광교탑치과의원,치과,경기 수원시 영통구 이의동 1248,031-215-0707,458,457,37.30081047,127.0452291
15,김의치과의원,치과,경기 수원시 장안구 연무동 11-15,031-242-9122,940,938,37.29835013,127.0297713
16,내인생봄날의원,정신건강의학과,경기 수원시 영통구 이의동 1331,031-8067-8267,1246,1248,37.29125365,127.0485536
17,누리이비인후과의원,이비인후과,경기 수원시 영통구 이의동 1248,031-213-0113,455,454,37.3008285,127.045193
18,다인병원,일반의원,경기 수원시 장안구 연무동 260-20,1566-0056,1459,1459,37.29185602,127.0274229
19,덴티움치과의원,치과,경기 수원시 영통구 이의동 1287,02-555-0068,552,554,37.29527796,127.0406479
20,리슈어스의원,피부과,경기 수원시 영통구 이의동 1351-4,031-302-5000,1185,1186,37.29129016,127.04740559198441
21,마리마취통증의학과의원,기타,경기 수원시 영통구 이의동 1351-4,031-213-1515,1160,1161,37.29142541489965,127.04714967380397
22,메이퓨어의원 광교점,피부과,경기 수원시 영통구 이의동 1325-2,031-212-1728,1292,1292,37.29250146,127.051004
23,방내과의원,내과,경기 수원시 장안구 연무동 233-21,,1356,1354,37.29583536,127.0258409
24,삼성드림치과,치과,경기 수원시 영통구 이의동 1240,031-698-2727,760,760,37.29626851,127.0470986
25,삼성서울안과,안과,경기 수원시 영통구 이의동 1331,031-212-5522,1252,1253,37.291267116114106,127.0486743124235
26,삼성쎈비뇨의학과의원,기타,경기 수원시 영통구 이의동 1351-4,031-8067-7522,1149,1151,37.29146871988348,127.04701098544211
27,서울으뜸치과의원,치과,경기 수원시 장안구 연무동 247-9,031-305-2820,1302,1303,37.29227365,127.029311
28,숨앤숲이비인후과,이비인후과,경기 수원시 영통구 이의동 1330,031-212-7907,1172,1172,37.292513067536014,127.04911946158778
29,연세세브란스의원,일반의원,경기 수원시 장안구 연무동 56-119,031-242-5440,942,941,37.29699844,127.0302805
30,연세웰키즈치과의원 수원광교점,치과,경기 수원시 영통구 이의동 1330,031-217-7928,1178,1178,37.29253734,127.04925030023247
31,오아시스 정형외과 신경외과 동물병원,동물병원,경기 수원시 영통구 이의동 1331,031-215-7474,1161,1162,37.29172703,127.0477363
32,웃는E치과교정과치과의원,치과,경기 수원시 영통구 이의동 1329,0502-5552-0735,1100,1101,37.29294491,127.0485175
33,웰빙동물병원,동물병원,경기 수원시 영통구 이의동 1201,031-212-5567,764,764,37.30510623,127.0462107
34,유디트의원,일반의원,경기 수원시 영통구 이의동 1325-4,,1297,1297,37.29213309,127.0506462
35,이지마디척척의원,일반의원,경기 수원시 장안구 연무동 247-9,031-891-5008,1302,1303,37.29227365,127.029311
36,인생치과의원,치과,경기 수원시 영통구 이의동 1258-4,031-213-2370,333,333,37.29927568,127.0436762
37,장안연세치과의원,치과,경기 수원시 장안구 연무동 246-24,031-247-2597,1214,1215,37.292528371120895,127.03038022572304
38,조은이비인후과의원,이비인후과,경기 수원시 장안구 연무동 245-33,031-241-9006,1116,1117,37.29268388,127.0317855
39,최정형외과,기타,경기 수원시 장안구 연무동 245-38,031-253-3600,1097,1098,37.29271985,127.0320652
40,톤즈의원 수원광교점,피부과,경기 수원시 영통구 이의동 1348,031-8019-5020,1330,1332,37.289474841481166,127.04671089443904
41,프라자치과의원,치과,경기 수원시 영통구 이의동 1322-5,031-212-2879,1220,1220,37.29272438,127.0501594
42,하프의원,일반의원,경기 수원시 영통구 이의동 1351-4,031-8067-5200,1175,1176,37.29133705741807,127.04728946157508
43,하프의원 광교,일반의원,경기 수원시 영통구 이의동 1351-4,031-8067-5200,1175,1177,37.291333452816716,127.04729058708435
44,행복한김치과의원,치과,경기 수원시 영통구 이의동 1201,031-213-2835,764,764,37.30510623,127.0462107
45,휴내과의원,내과,경기 수원시 영통구 이의동 1322-3,031-213-5484,1164,1164,37.293744237420896,127.05042400036419
